,NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,LATITUDE,LONGITUDE,POSTAL_CODE
8,Bala Avenue Community School,English Public,York,43.689470799999995,-79.49901555,M6M 2E1
109,C R Marchant Middle School,English Public,York,43.70173006,-79.51293668,M9N 3A8
131,Cedarvale Community School,English Public,York,43.69613887,-79.43033081,M6C 1W4
150,Charles E Webster Jr Public School,English Public,York,43.69344303,-79.47510278,M6M 3X7
258,Cordella Jr Public School,English Public,York,43.67907009,-79.48758544,M6N 2K1
300,Dennis Avenue Community School,English Public,York,43.68442812,-79.48728959,M6N 2T7
384,F H Miller Jr Public School,English Public,York,43.68401436,-79.45890136,M6E 4T5
385,Fairbank Memorial Community School,English Public,York,43.69170324,-79.4554057,M6E 4M2
386,Fairbank Public School,English Public,York,43.69436249,-79.44942101,M6E 3S5
413,Frank Oke Secondary School,English Public,York,43.67751242,-79.48875423,M6N 2H8
433,George Harvey Collegiate Institute,English Public,York,43.68454651,-79.47369919,M6M 3W5
438,George Syme Community School,English Public,York,43.66925138,-79.49112677,M6N 1T6
473,H J Alexander Community School,English Public,York,43.70250241,-79.52054755,M9N 1K9
480,Harwood Public School,English Public,York,43.67618592,-79.47841248,M6N 3X3
533,Humbercrest Public School,English Public,York,43.66046123,-79.49105864,M6S 2H7
538,Humewood Community School,English Public,York,43.68664368,-79.42802370000001,M6C 2X4
561,J R Wilcox Community School,English Public,York,43.69495538,-79.43630852,M6C 1X3
593,Keelesdale Jr Public School,English Public,York,43.68696568,-79.47694958,M6M 4G9
604,King George Jr Public School,English Public,York,43.66317127,-79.48689002,M6S 2M2
622,Lambton Park Community School,English Public,York,43.66758456,-79.49831076,M6N 1W9
851,Portage Trail Community School,English Public,York,43.69229619,-79.50976689,M6M 5H6
867,Rawlinson Community School,English Public,York,43.68398565,-79.44004667,M6E 3C7
879,Rockcliffe Middle School,English Public,York,43.67401618,-79.48843524,M6N 4R8
887,Roselands Jr Public School,English Public,York,43.68123537,-79.49906428,M6N 4E2
895,Runnymede Collegiate Institute,English Public,York,43.66354085,-79.48981466,M6S 4A3
903,Santa Maria Catholic Elementary School,English Public,York,43.68097329,-79.47768089,M6N 4X8
937,Silverthorn Community School,English Public,York,43.68725801,-79.46941837,M6M 3P1
1131,The Haney Centre School,English Public,York,43.67312052,-79.49908473,M6N 2E5
1219,Warren Park Jr Public School,English Public,York,43.66285134,-79.49944079,M6S 4P4
1234,Weston Collegiate Institute,English Public,York,43.7038249,-79.50942503,M9N 2Y9
1235,Weston Memorial Jr Public School,English Public,York,43.70598674,-79.50933321,M9N 1K2
1278,York Humber High School,English Public,York,43.68856919,-79.50617746,M6M 2E6
1279,York Memorial Collegiate Institute,English Public,York,43.69028731,-79.47624307,M6M 1T9
